"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-03-31,"53092","WI","Milwaukee","Ozaukee","Mequon",5410,2255,-0.0187119234116623,-0.0375586854460094,0.0851780558229066,8448
2016-03-31,"14845","NY","Elmira","Chemung","Town of Horseheads",5411,1247,0.0097165991902834,-0.0250195465207193,-0.0963768115942029,6603
2016-03-31,"02809","RI","Providence","Bristol","Bristol",5412,2048,0.00146699266503667,0.040650406504065,0.155756207674944,7646
2016-03-31,"64086","MO","Kansas City","Jackson","Lees Summit",5413,1403,0.00429491768074445,0.027086383601757,0.0517241379310345,8872
2016-03-31,"33606","FL","Tampa","Hillsborough","Tampa",5414,2146,-0.00831792975970425,-0.014692378328742,0.00751173708920188,6679
2016-03-31,"03053","NH","Boston","Rockingham","Town of Londonderry",5415,1965,0.00306278713629403,0.00769230769230769,0.0737704918032787,9063
2016-03-31,"34788","FL","Orlando","Lake","Silver Lake",5416,1105,0.00272232304900181,0.0165593376264949,0.055396370582617,6119
2016-03-31,"55446","MN","Minneapolis-St Paul","Hennepin","Plymouth",5417,2004,-0.00693756194251734,-0.0190895741556534,0.0188103711235384,7845
2016-03-31,"67211","KS","Wichita","Sedgwick","Wichita",5418,673,0.0029806259314456,-0.00590841949778434,-0.0102941176470588,7987
2016-03-31,"45505","OH","Springfield","Clark","Springfield",5419,598,0.00843170320404722,0.0016750418760469,-0.00499168053244592,7117
2016-03-31,"78599","TX","McAllen","Hidalgo","Weslaco",5420,963,0.00837696335078534,0.0277481323372465,0.0288461538461538,4971
2016-03-31,"59808","MT","Missoula","Missoula","Missoula",5421,1291,0.00232919254658385,-0.00996932515337423,0.0436540016168149,5445
2016-03-31,"92881","CA","Riverside","Riverside","Corona",5422,2335,0.00214592274678112,0.00733390854184642,0.0327288810260946,8231
2016-03-31,"55313","MN","Minneapolis-St Paul","Wright","Buffalo",5423,1377,0.00364431486880466,0.0154867256637168,0.0527522935779817,7498
2016-03-31,"92227","CA","El Centro","Imperial","Brawley",5424,1042,0.0165853658536585,0.00192307692307692,-0.0654708520179372,5526
